"code"	"institution_key"	"institution_name"	"class"	"type"	"city"	"state"	"uva_peer"
"NCState"	"NORTH CAROLINA STATE UNIVERSITY"	"North Carolina State University"	"R1"	"Public"	"Raleigh"	"NC"	"1"
"ND St"	"NORTH DAKOTA STATE UNIVERSITY MAIN"	"North Dakota State University-Main Campus"	"R2"	"Public"	"Fargo"	"ND"	NULL
"NCU"	"NORTHCENTRAL UNIVERSITY"	"Northcentral University"	"R3"	"Private (For-profit)"	"Prescott Valley"	"AZ"	NULL
"NEU"	"NORTHEASTERN UNIVERSITY"	"Northeastern University"	"R1"	"Private (Non-profit)"	"Boston"	"MA"	NULL
"NAU"	"NORTHERN ARIZONA UNIVERSITY"	"Northern Arizona University"	"R2"	"Public"	"Flagstaff"	"AZ"	NULL
"NIU"	"NORTHERN ILLINOIS UNIVERSITY"	"Northern Illinois University"	"R2"	"Public"	"Dekalb"	"IL"	NULL
"NWU"	"NORTHWESTERN UNIVERSITY"	"Northwestern University"	"R1"	"Private (Non-profit)"	"Evanston"	"IL"	"1"
"NDMD"	"NOTRE DAME OF MARYLAND UNIVERSITY"	"Notre Dame Of Maryland University"	"NA"	"NA"	"NA"	"NA"	NULL
"NSEU"	"NOVA SOUTHEASTERN UNIVERSITY"	"Nova Southeastern University"	"R2"	"Private (Non-profit)"	"Fort Lauderdale"	"FL"	NULL
"Oakland"	"OAKLAND UNIVERSITY"	"Oakland University"	"R3"	"Public"	"Rochester Hills"	"MI"	NULL
"OSU"	"OHIO STATE UNIVERSITY"	"Ohio State University"	"R1"	"Public"	"Columbus"	"OH"	NULL
"OSU Main"	"OHIO STATE UNIVERSITY MAIN"	"Ohio State University Main"	"NA"	"NA"	"NA"	"NA"	NULL
"OU"	"OHIO UNIVERSITY MAIN"	"Ohio University-Main Campus"	"R2"	"Public"	"Athens"	"OH"	NULL
"OK St"	"OKLAHOMA STATE UNIVERSITY MAIN"	"Oklahoma State University-Main Campus"	"R2"	"Public"	"Stillwater"	"OK"	NULL
"ODU"	"OLD DOMINION UNIVERSITY"	"Old Dominion University"	"R2"	"Public"	"Norfolk"	"VA"	NULL
"OR St"	"OREGON STATE UNIVERSITY"	"Oregon State University"	"R1"	"Public"	"Corvallis"	"OR"	NULL
"Pace"	"PACE UNIVERSITY"	"Pace University"	"NA"	"NA"	"NA"	"NA"	NULL
"PHSC"	"PASCO HERNANDO STATE COLLEGE"	"Pasco Hernando State College"	"NA"	"NA"	"NA"	"NA"	NULL
"PSU Great Valley"	"PENN STATE GREAT VALLEY"	"Penn State Great Valley"	"NA"	"NA"	"NA"	"NA"	NULL
"Penn St"	"PENNSYLVANIA STATE UNIVERSITY MAIN"	"Pennsylvania State University-Main Campus"	"R1"	"Public"	"University Park"	"PA"	NULL
"PSU GV"	"PENNSYLVANIA STATE UNIVERSITY PENN STATE GREAT VALLEY"	"Pennsylvania State University Penn State Great Valley"	"NA"	"NA"	"NA"	"NA"	NULL
"PSU Har"	"PENNSYLVANIA STATE UNIVERSITY PENN STATE HARRISBURG"	"Pennsylvania State University Penn State Harrisburg"	"NA"	"NA"	"NA"	"NA"	NULL
"PSU Wor"	"PENNSYLVANIA STATE UNIVERSITY WORLD"	"Pennsylvania State University World"	"NA"	"NA"	"NA"	"NA"	NULL
"Pepperdine"	"PEPPERDINE UNIVERSITY"	"Pepperdine University"	"R3"	"Private (Non-profit)"	"Malibu"	"CA"	NULL
"PCUPR"	"PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO PONCE"	"Pontifical Catholic University of Puerto Rico-Ponce"	"R3"	"Private (Non-profit)"	"Ponce"	"PR"	NULL
"PSU"	"PORTLAND STATE UNIVERSITY"	"Portland State University"	"R2"	"Public"	"Portland"	"OR"	NULL
"PVAMU"	"PRAIRIE VIEW A M UNIVERSITY"	"Prairie View A & M University"	"R3"	"Public"	"Prairie View"	"TX"	NULL
"Princeton"	"PRINCETON UNIVERSITY"	"Princeton University"	"R1"	"Private (Non-profit)"	"Princeton"	"NJ"	NULL
"Purdue"	"PURDUE UNIVERSITY"	"Purdue University"	"R1"	"Public"	"West Lafayette"	"IN"	NULL
"Quinnipiac"	"QUINNIPIAC UNIVERSITY"	"Quinnipiac University"	"NA"	"NA"	"NA"	"NA"	NULL
"Radford"	"RADFORD UNIVERSITY"	"Radford University"	"NA"	"NA"	"NA"	"NA"	NULL
"Regent"	"REGENT UNIVERSITY"	"Regent University"	"R3"	"Private (Non-profit)"	"Virginia Beach"	"VA"	NULL
"Regis"	"REGIS UNIVERSITY"	"Regis University"	"NA"	"NA"	"NA"	"NA"	NULL
